# CSR-1 22G-RNA targets,,,,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,,,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,,,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,,,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell,,,
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5,,,
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1,,,
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1,,,
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1,,,
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1,,,
# Maternal and zygotic,> 1TPM,log2FC > 0.5,,,,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5,,,
# all in 1-Cell,> 1TPM,,,,,
CSR-1 Targets Adults > 150 RPM (333),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00012715,,,,WBGene00012715,WBGene00012715,History: N.A.
WBGene00012730,,,,WBGene00012730,WBGene00012730,History: N.A.
WBGene00012845,,,,WBGene00012845,WBGene00012845,History: N.A.
WBGene00012896,,,,WBGene00012896,WBGene00012896,History: Renamed on 2005-03-17
WBGene00012897,,,,WBGene00012897,WBGene00012897,History: N.A.
WBGene00012936,,,,WBGene00012936,WBGene00012936,History: N.A.
WBGene00012999,,,,WBGene00012999,WBGene00012999,History: N.A.
WBGene00013038,,,,WBGene00013038,WBGene00013038,History: N.A.
WBGene00013106,,,,WBGene00013106,WBGene00013106,History: N.A.
WBGene00013143,,,,WBGene00013143,WBGene00013143,History: N.A.
WBGene00013156,,,,WBGene00013156,WBGene00013156,History: N.A.
WBGene00013168,,,,WBGene00013168,WBGene00013168,History: N.A.
WBGene00013189,,,,WBGene00013189,WBGene00013189,History: N.A.
WBGene00013270,,,,WBGene00013270,WBGene00013270,History: N.A.
WBGene00013380,,,,WBGene00013380,WBGene00013380,History: N.A.
WBGene00013591,,,,WBGene00013591,WBGene00013591,History: N.A.
WBGene00013689,,,,WBGene00013689,WBGene00013689,History: N.A.
WBGene00013729,,,,WBGene00013729,WBGene00013729,History: N.A.
WBGene00014151,,,,WBGene00014151,WBGene00014151,History: N.A.
WBGene00014208,,,,WBGene00014208,WBGene00014208,History: N.A.
WBGene00015098,,,,WBGene00015098,WBGene00015098,History: N.A.
WBGene00015143,,,,WBGene00015143,WBGene00015143,History: N.A.
WBGene00015504,,,,WBGene00015504,WBGene00015504,History: N.A.
WBGene00015515,,,,WBGene00015515,WBGene00015515,History: N.A.
WBGene00015557,,,,WBGene00015557,WBGene00015557,History: N.A.
WBGene00015817,,,,WBGene00015817,WBGene00015817,History: N.A.
WBGene00016015,,,,WBGene00016015,WBGene00016015,History: N.A.
WBGene00016140,,,,WBGene00016140,WBGene00016140,History: Renamed on 2005-03-17
WBGene00016178,,,,WBGene00016178,WBGene00016178,History: N.A.
WBGene00016202,,,,WBGene00016202,WBGene00016202,History: Renamed on 2006-03-22; Renamed on 2007-07-06
WBGene00016250,,,,WBGene00016250,WBGene00016250,History: N.A.
WBGene00016277,,,,WBGene00016277,WBGene00016277,History: N.A.
WBGene00016317,,,,WBGene00016317,WBGene00016317,History: N.A.
WBGene00016405,,,,WBGene00016405,WBGene00016405,History: N.A.
WBGene00016444,,,,WBGene00016444,WBGene00016444,History: N.A.
WBGene00016836,,,,WBGene00016836,WBGene00016836,History: N.A.
WBGene00016971,,,,WBGene00016971,WBGene00016971,History: N.A.
WBGene00016981,,,,WBGene00016981,WBGene00016981,History: N.A.
WBGene00017031,,,,WBGene00017031,WBGene00017031,History: N.A.
WBGene00017075,,,,WBGene00017075,WBGene00017075,History: Renamed on 2013-01-09
WBGene00017300,,,,WBGene00017300,WBGene00017300,History: N.A.
WBGene00017482,,,,WBGene00017482,WBGene00017482,History: N.A.
WBGene00017641,,,,WBGene00017641,WBGene00017641,History: N.A.
WBGene00017774,,,,WBGene00017774,WBGene00017774,History: N.A.
WBGene00017797,,,,WBGene00017797,WBGene00017797,History: N.A.
WBGene00017920,,,,WBGene00017920,WBGene00017920,History: N.A.
WBGene00017951,,,,WBGene00017951,WBGene00017951,History: N.A.
WBGene00017967,,,,WBGene00017967,WBGene00017967,History: N.A.
WBGene00017981,,,,WBGene00017981,WBGene00017981,History: N.A.
WBGene00017988,,,,WBGene00017988,WBGene00017988,History: N.A.
WBGene00018285,,,,WBGene00018285,WBGene00018285,History: Renamed on 2007-10-22
WBGene00018341,,,,WBGene00018341,WBGene00018341,History: N.A.
WBGene00018512,,,,WBGene00018512,WBGene00018512,History: N.A.
WBGene00018612,,,,WBGene00018612,WBGene00018612,History: Renamed on 2017-03-13
WBGene00018781,,,,WBGene00018781,WBGene00018781,History: N.A.
WBGene00018866,,,,WBGene00018866,WBGene00018866,History: Renamed on 2015-03-05
WBGene00018892,,,,WBGene00018892,WBGene00018892,History: N.A.
WBGene00018898,,,,WBGene00018898,WBGene00018898,History: N.A.
WBGene00018900,,,,WBGene00018900,WBGene00018900,History: N.A.
WBGene00018967,,,,WBGene00018967,WBGene00018967,History: N.A.
WBGene00019013,,,,WBGene00019013,WBGene00019013,History: N.A.
WBGene00019087,,,,WBGene00019087,WBGene00019087,History: N.A.
WBGene00019323,,,,WBGene00019323,WBGene00019323,History: Renamed on 2005-03-17; Renamed on 2010-02-19; Renamed on 2015-03-02
WBGene00019510,,,,WBGene00019510,WBGene00019510,History: N.A.
