# Table S2: A full list of the 310 epigenetic and small RNA factors that were examined in this study and their regulation in HSF-1High and HSF-1Low worms.
...1,UP_in_HSF-1High,DOWN_in_HSF-1High,UP_in_HSF-1Low,DOWN_in_HSF-1Low,Input,Suggested Match,History
WBGene00009671,No,Yes,No,Yes,WBGene00009671,WBGene00009671,History: N.A.
WBGene00009672,No,No,No,No,WBGene00009672,WBGene00009672,History: N.A.
WBGene00010141,No,No,No,No,WBGene00010141,WBGene00010141,History: N.A.
WBGene00010263,No,No,Yes,No,WBGene00010263,WBGene00010263,History: N.A.
WBGene00010280,No,Yes,No,No,WBGene00010280,WBGene00010280,History: N.A.
WBGene00010734,No,No,Yes,No,WBGene00010734,WBGene00010734,History: N.A.
WBGene00010825,No,No,No,Yes,WBGene00010825,WBGene00010825,History: N.A.
WBGene00010840,No,No,No,No,WBGene00010840,WBGene00010840,History: N.A.
WBGene00010990,No,Yes,No,No,WBGene00010990,WBGene00010990,History: N.A.
WBGene00011061,No,Yes,Yes,No,WBGene00011061,WBGene00011061,History: N.A.
WBGene00011068,No,Yes,Yes,No,WBGene00011068,WBGene00011068,History: N.A.
WBGene00011323,No,No,Yes,No,WBGene00011323,WBGene00011323,History: Renamed on 2013-10-16
WBGene00011324,No,Yes,Yes,No,WBGene00011324,WBGene00011324,History: Renamed on 2019-05-20
WBGene00011333,No,No,No,No,WBGene00011333,WBGene00011333,History: N.A.
WBGene00011368,No,Yes,No,No,WBGene00011368,WBGene00011368,History: N.A.
WBGene00011615,No,Yes,No,No,WBGene00011615,WBGene00011615,History: N.A.
WBGene00011631,No,No,No,No,WBGene00011631,WBGene00011631,History: N.A.
WBGene00011729,No,No,Yes,No,WBGene00011729,WBGene00011729,History: Renamed on 2007-05-03
WBGene00011887,No,Yes,No,No,WBGene00011887,WBGene00011887,History: N.A.
WBGene00011908,No,Yes,No,No,WBGene00011908,WBGene00011908,History: N.A.
WBGene00011910,Yes,No,No,No,WBGene00011910,WBGene00011910,History: N.A.
WBGene00011944,No,Yes,No,No,WBGene00011944,WBGene00011944,History: N.A.
WBGene00011945,No,Yes,Yes,No,WBGene00011945,WBGene00011945,History: N.A.
WBGene00011959,No,No,No,No,WBGene00011959,WBGene00011959,History: N.A.
WBGene00011980,No,Yes,Yes,No,WBGene00011980,WBGene00011980,History: N.A.
WBGene00012030,No,No,No,No,WBGene00012030,WBGene00012030,History: N.A.
WBGene00012167,No,Yes,Yes,No,WBGene00012167,WBGene00012167,History: N.A.
WBGene00012234,No,Yes,No,No,WBGene00012234,WBGene00012234,History: N.A.
WBGene00012348,No,Yes,No,No,WBGene00012348,WBGene00012348,History: N.A.
WBGene00012458,No,Yes,Yes,No,WBGene00012458,WBGene00012458,History: N.A.
WBGene00012527,No,No,No,Yes,WBGene00012527,WBGene00012527,History: N.A.
WBGene00012551,No,No,No,No,WBGene00012551,WBGene00012551,History: N.A.
WBGene00012730,No,No,Yes,No,WBGene00012730,WBGene00012730,History: N.A.
WBGene00012802,No,No,Yes,No,WBGene00012802,WBGene00012802,History: N.A.
WBGene00012845,No,No,Yes,No,WBGene00012845,WBGene00012845,History: N.A.
WBGene00012982,No,No,Yes,No,WBGene00012982,WBGene00012982,History: N.A.
WBGene00013106,No,No,Yes,No,WBGene00013106,WBGene00013106,History: N.A.
WBGene00013236,No,No,No,No,WBGene00013236,WBGene00013236,History: N.A.
WBGene00013596,No,Yes,Yes,No,WBGene00013596,WBGene00013596,History: N.A.
WBGene00013652,No,No,No,No,WBGene00013652,WBGene00013652,History: N.A.
WBGene00014208,No,Yes,Yes,No,WBGene00014208,WBGene00014208,History: N.A.
WBGene00014667,No,Yes,Yes,No,WBGene00014667,WBGene00014667,History: N.A.
WBGene00015007,No,No,No,No,WBGene00015007,WBGene00015007,History: N.A.
WBGene00015349,No,No,No,Yes,WBGene00015349,WBGene00015349,History: N.A.
WBGene00015479,No,No,No,No,WBGene00015479,WBGene00015479,History: N.A.
WBGene00015525,No,No,No,No,WBGene00015525,WBGene00015525,History: N.A.
WBGene00015538,No,No,No,No,WBGene00015538,WBGene00015538,History: N.A.
WBGene00015547,No,No,Yes,No,WBGene00015547,WBGene00015547,History: N.A.
WBGene00015809,No,Yes,No,No,WBGene00015809,WBGene00015809,History: N.A.
WBGene00015939,No,No,No,No,WBGene00015939,WBGene00015939,History: Renamed on 2019-02-06
WBGene00016143,No,Yes,Yes,No,WBGene00016143,WBGene00016143,History: N.A.
WBGene00016202,No,Yes,Yes,No,WBGene00016202,WBGene00016202,History: Renamed on 2006-03-22; Renamed on 2007-07-06
WBGene00016236,No,No,No,No,WBGene00016236,WBGene00016236,History: Renamed on 2018-06-11
WBGene00016313,No,Yes,No,No,WBGene00016313,WBGene00016313,History: Renamed on 2007-05-03
WBGene00016405,No,No,No,No,WBGene00016405,WBGene00016405,History: N.A.
WBGene00016409,No,Yes,Yes,No,WBGene00016409,WBGene00016409,History: N.A.
WBGene00016485,No,Yes,Yes,No,WBGene00016485,WBGene00016485,History: N.A.
WBGene00016561,No,No,No,No,WBGene00016561,WBGene00016561,History: N.A.
WBGene00016566,No,Yes,No,No,WBGene00016566,WBGene00016566,History: N.A.
WBGene00016603,No,Yes,Yes,No,WBGene00016603,WBGene00016603,History: N.A.
WBGene00016796,No,Yes,Yes,No,WBGene00016796,WBGene00016796,History: N.A.
WBGene00016944,No,Yes,No,No,WBGene00016944,WBGene00016944,History: N.A.
WBGene00016992,No,No,No,No,WBGene00016992,WBGene00016992,History: N.A.
WBGene00017046,No,No,Yes,No,WBGene00017046,WBGene00017046,History: N.A.
WBGene00017075,No,Yes,No,No,WBGene00017075,WBGene00017075,History: Renamed on 2013-01-09
WBGene00017085,No,Yes,No,No,WBGene00017085,WBGene00017085,History: N.A.
WBGene00017172,No,No,No,Yes,WBGene00017172,WBGene00017172,History: N.A.
WBGene00017304,No,No,Yes,No,WBGene00017304,WBGene00017304,History: N.A.
