# Table S2. Genes depleted for 22G-RNAs in parn-1,prg-1,and parn-1; prg-1 double mutant animals,Related to Figure 6
# # ""FALSE"" indicates  fold change ≤ 2,NA,NA,NA
# # ""TRUE"" indicates  fold change > 2,NA,NA,NA
# #  Genes with Reads Per Million greater than 10 in wild-type were listed,NA,NA,NA
WormBaseID,Gene_symbol_1,Gene_symbol_2,wild-type vs. parn-1,wild-type vs .prg-1,wild-type vs. prg-1; parn-1,wild-type,parn-1,prg-1,prg-1; parn-1,Input,Suggested Match,History
WBGene00000545,clp-4,Y39A3CL.5,False,True,True,55.566525,57.03033505,0.29470654,0.459389227,WBGene00000545,WBGene00000545,History: N.A.
WBGene00000546,clp-6,Y77E11A.10,False,True,True,42.21437457,77.48917272,1.62088597,4.287632783,WBGene00000546,WBGene00000546,"History: Split into Y77E11A.23(WBGene00235267). History of WBGene00000546: Split into ""WBGene00235267"" on 2013-09-04"
WBGene00000547,clp-7,Y77E11A.11,False,True,True,20.09566074,19.39879426,6.925603692,9.838585939,WBGene00000547,WBGene00000547,History: N.A.
WBGene00000548,clr-1,F56D1.4,False,False,False,28.86222415,30.84726301,39.04861656,29.86029974,WBGene00000548,WBGene00000548,History: N.A.
WBGene00000549,cls-2,R107.6,False,False,False,293.5161033,430.1126105,641.9901302,419.044644,WBGene00000549,WBGene00000549,History: N.A.
WBGene00000550,clu-1,F55H2.6,False,False,False,42.17298583,79.86250859,153.1678163,107.8644528,WBGene00000550,WBGene00000550,History: N.A.
WBGene00000554,cnb-1,F55C10.1,True,True,True,42.97863908,3.413339756,0.0,0.0,WBGene00000554,WBGene00000554,History: N.A.
WBGene00000564,cnk-1,R01H10.8,False,False,False,15.95321869,9.540390622,10.60943544,13.01602809,WBGene00000564,WBGene00000564,History: N.A.
WBGene00000565,cnt-1,Y17G7B.15,False,False,False,19.2864395,19.39879426,30.21920862,23.88823979,WBGene00000565,WBGene00000565,History: Renamed on 2014-12-10
WBGene00000566,cnt-2,Y39A1A.15,False,False,False,23.33254569,24.92868735,47.30039968,38.58869504,WBGene00000566,WBGene00000566,History: N.A.
WBGene00000567,cnx-1,ZK632.6,False,False,False,31.28988786,38.33823639,51.86835105,40.80907631,WBGene00000567,WBGene00000567,History: N.A.
WBGene00000585,cogc-2,C06G3.10,False,False,False,17.1285162,23.63896787,15.49888486,18.89110587,WBGene00000585,WBGene00000585,History: Renamed on 2006-01-17
