# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
Maternal and zygotic (1958),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00001928,,,,WBGene00001928,WBGene00001928,History: N.A.
WBGene00001930,,,,WBGene00001930,WBGene00001930,History: N.A.
WBGene00001945,,,,WBGene00001945,WBGene00001945,History: N.A.
WBGene00001946,,,,WBGene00001946,WBGene00001946,History: N.A.
WBGene00001949,,,,WBGene00001949,WBGene00001949,History: N.A.
WBGene00001950,,,,WBGene00001950,WBGene00001950,History: N.A.
WBGene00001971,,,,WBGene00001971,WBGene00001971,History: N.A.
WBGene00001972,,,,WBGene00001972,WBGene00001972,History: N.A.
WBGene00001976,,,,WBGene00001976,WBGene00001976,History: N.A.
WBGene00001978,,,,WBGene00001978,WBGene00001978,History: N.A.
WBGene00001980,,,,WBGene00001980,WBGene00001980,History: N.A.
WBGene00001981,,,,WBGene00001981,WBGene00001981,History: N.A.
WBGene00001994,,,,WBGene00001994,WBGene00001994,"History: Split into F20B6.10(WBGene00303101). History of WBGene00001994: Split into ""WBGene00303101"" on 2018-03-06"
WBGene00001999,,,,WBGene00001999,WBGene00001999,History: Renamed on 2019-11-21
WBGene00002000,,,,WBGene00002000,WBGene00002000,History: Renamed on 2019-11-21
WBGene00002007,,,,WBGene00002007,WBGene00002007,History: N.A.
WBGene00002023,,,,WBGene00002023,WBGene00002023,History: N.A.
WBGene00002029,,,,WBGene00002029,WBGene00002029,History: N.A.
WBGene00002035,,,,WBGene00002035,WBGene00002035,History: N.A.
WBGene00002040,,,,WBGene00002040,WBGene00002040,History: N.A.
WBGene00002044,,,,WBGene00002044,WBGene00002044,History: N.A.
WBGene00002047,,,,WBGene00002047,WBGene00002047,History: N.A.
