# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
Late degraded (1572),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00004354,,,,WBGene00004354,WBGene00004354,History: N.A.
WBGene00004380,,,,WBGene00004380,WBGene00004380,History: N.A.
WBGene00004381,,,,WBGene00004381,WBGene00004381,History: N.A.
WBGene00004383,,,,WBGene00004383,WBGene00004383,History: N.A.
WBGene00004384,,,,WBGene00004384,WBGene00004384,History: N.A.
WBGene00004391,,,,WBGene00004391,WBGene00004391,History: N.A.
WBGene00004392,,,,WBGene00004392,WBGene00004392,History: N.A.
WBGene00004462,,,,WBGene00004462,WBGene00004462,History: N.A.
WBGene00004463,,,,WBGene00004463,WBGene00004463,History: N.A.
WBGene00004465,,,,WBGene00004465,WBGene00004465,History: N.A.
WBGene00004466,,,,WBGene00004466,WBGene00004466,History: N.A.
WBGene00004467,,,,WBGene00004467,WBGene00004467,History: N.A.
WBGene00004468,,,,WBGene00004468,WBGene00004468,History: N.A.
WBGene00004501,,,,WBGene00004501,WBGene00004501,History: N.A.
WBGene00004502,,,,WBGene00004502,WBGene00004502,History: N.A.
WBGene00004503,,,,WBGene00004503,WBGene00004503,History: N.A.
WBGene00004504,,,,WBGene00004504,WBGene00004504,History: N.A.
WBGene00004505,,,,WBGene00004505,WBGene00004505,History: N.A.
WBGene00004679,,,,WBGene00004679,WBGene00004679,History: Renamed on 2010-01-29
WBGene00004680,,,,WBGene00004680,WBGene00004680,History: Renamed on 2010-01-29
WBGene00004702,,,,WBGene00004702,WBGene00004702,History: N.A.
WBGene00004759,,,,WBGene00004759,WBGene00004759,History: N.A.
WBGene00004762,,,,WBGene00004762,WBGene00004762,History: N.A.
WBGene00004767,,,,WBGene00004767,WBGene00004767,History: N.A.
WBGene00004775,,,,WBGene00004775,WBGene00004775,History: Renamed on 2015-03-03
WBGene00004802,,,,WBGene00004802,WBGene00004802,History: N.A.
WBGene00004803,,,,WBGene00004803,WBGene00004803,History: N.A.
WBGene00004808,,,,WBGene00004808,WBGene00004808,History: N.A.
WBGene00004823,,,,WBGene00004823,WBGene00004823,History: N.A.
WBGene00004880,,,,WBGene00004880,WBGene00004880,History: N.A.
WBGene00004882,,,,WBGene00004882,WBGene00004882,History: N.A.
WBGene00004884,,,,WBGene00004884,WBGene00004884,History: Renamed on 2008-01-10
WBGene00004885,,,,WBGene00004885,WBGene00004885,History: N.A.
WBGene00004886,,,,WBGene00004886,WBGene00004886,History: N.A.
WBGene00004887,,,,WBGene00004887,WBGene00004887,History: N.A.
WBGene00004891,,,,WBGene00004891,WBGene00004891,History: N.A.
WBGene00004892,,,,WBGene00004892,WBGene00004892,History: N.A.
WBGene00004905,,,,WBGene00004905,WBGene00004905,History: N.A.
WBGene00004913,,,,WBGene00004913,WBGene00004913,History: N.A.
WBGene00004915,,,,WBGene00004915,WBGene00004915,History: N.A.
WBGene00004919,,,,WBGene00004919,WBGene00004919,History: N.A.
WBGene00004930,,,,WBGene00004930,WBGene00004930,History: N.A.
WBGene00004953,,,,WBGene00004953,WBGene00004953,History: N.A.
WBGene00004955,,,,WBGene00004955,WBGene00004955,History: N.A.
WBGene00004984,,,,WBGene00004984,WBGene00004984,History: N.A.
WBGene00004985,,,,WBGene00004985,WBGene00004985,History: N.A.
WBGene00005007,,,,WBGene00005007,WBGene00005007,History: N.A.
WBGene00005023,,,,WBGene00005023,WBGene00005023,"History: Split into T24D1.7(WBGene00303082). History of WBGene00005023: Split into ""WBGene00303082"" on 2018-03-02"
WBGene00005168,,,,WBGene00005168,WBGene00005168,History: N.A.
WBGene00005282,,,,WBGene00005282,WBGene00005282,History: N.A.
WBGene00005648,,,,WBGene00005648,WBGene00005648,History: N.A.
WBGene00005662,,,,WBGene00005662,WBGene00005662,History: Renamed on 2010-01-29
WBGene00005718,,,,WBGene00005718,WBGene00005718,History: N.A.
WBGene00006061,,,,WBGene00006061,WBGene00006061,History: N.A.
WBGene00006266,,,,WBGene00006266,WBGene00006266,History: N.A.
WBGene00006324,,,,WBGene00006324,WBGene00006324,History: N.A.
