# genelist,criteria,,,
# All CSR-1 targets ≥ 1 RPM,≥ 1 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets 1-50 RPM ,1- 50 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets  50-150 RPM,50-150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 targets ≥ 150 RPM,≥ 150 RPM in IP and log2FC (IP/Input) ≥ 1,,,
# CSR-1 protected targets,log2FC ≤ -0.5 in GRO-seq CSR-1 KO vs CSR-1 ADH,,,
# CSR-1 sliced targets,log2FC ≥1 in RNA-seq CSR-1 ADH vs WT and log2FC ≤-1 total sRNAs CSR-1 ADH vs WT for CSR-1 targets,,,
# HRDE-1 loaded P granule dependent piRNA targets,"≥ 1 RPM in IP and log2FC (IP/Input) ≥ 0.5 AND log2FC (P granule RNAi/control) ≤ -2 AND piRNA-dependent 22G-RNA protein-coding targets (Barucci et.al., 2020)",,,
# gene list used for RSCU based on translation efficiency,,,,
Log2 TE = 0 ± 0.1,Unnamed: 1,Input,Suggested Match,History
WBGene00010992,,WBGene00010992,WBGene00010992,History: N.A.
WBGene00010889,,WBGene00010889,WBGene00010889,History: N.A.
WBGene00008141,,WBGene00008141,WBGene00008141,History: N.A.
WBGene00017025,,WBGene00017025,WBGene00017025,History: N.A.
WBGene00012401,,WBGene00012401,WBGene00012401,History: N.A.
WBGene00008488,,WBGene00008488,WBGene00008488,History: N.A.
WBGene00007732,,WBGene00007732,WBGene00007732,History: Renamed on 2011-09-22; Renamed on 2013-04-16
WBGene00019667,,WBGene00019667,WBGene00019667,History: Renamed on 2017-10-11
WBGene00016966,,WBGene00016966,WBGene00016966,History: N.A.
WBGene00000520,,WBGene00000520,WBGene00000520,History: N.A.
WBGene00008725,,WBGene00008725,WBGene00008725,History: N.A.
WBGene00008185,,WBGene00008185,WBGene00008185,History: N.A.
WBGene00017812,,WBGene00017812,WBGene00017811,"History: Merged into ""WBGene00017811"" on 2018-11-14"
WBGene00004489,,WBGene00004489,WBGene00004489,History: N.A.
WBGene00000375,,WBGene00000375,WBGene00000375,History: N.A.
WBGene00015422,,WBGene00015422,WBGene00015422,History: N.A.
WBGene00019196,,WBGene00019196,WBGene00019196,History: N.A.
WBGene00021632,,WBGene00021632,WBGene00021632,History: N.A.
WBGene00010549,,WBGene00010549,WBGene00011647,"History: Merged into ""WBGene00011647"" on 2015-09-09"
WBGene00007780,,WBGene00007780,WBGene00007780,History: N.A.
WBGene00002208,,WBGene00002208,WBGene00002208,History: N.A.
WBGene00016752,,WBGene00016752,WBGene00016752,History: N.A.
WBGene00005013,,WBGene00005013,WBGene00005013,History: N.A.
WBGene00008918,,WBGene00008918,WBGene00008918,History: N.A.
WBGene00016675,,WBGene00016675,WBGene00016675,History: N.A.
WBGene00000200,,WBGene00000200,WBGene00000200,History: N.A.
