# Supplementary Data 1: Gene lists generated and used in this study and associated TPM values.,,,
# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
zygotic (704),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00009696,,,,WBGene00009696,WBGene00009696,History: N.A.
WBGene00009698,,,,WBGene00009698,WBGene00009698,History: N.A.
WBGene00009721,,,,WBGene00009721,WBGene00009721,History: N.A.
WBGene00009741,,,,WBGene00009741,WBGene00009741,History: N.A.
WBGene00009743,,,,WBGene00009743,WBGene00009743,History: N.A.
WBGene00009861,,,,WBGene00009861,WBGene00009861,"History: Split into F49B2.7(WBGene00086555). History of WBGene00009861: Split into ""WBGene00086555"" on 2008-07-18"
WBGene00009863,,,,WBGene00009863,WBGene00009863,History: N.A.
WBGene00009962,,,,WBGene00009962,WBGene00009962,History: N.A.
WBGene00010045,,,,WBGene00010045,WBGene00010045,History: N.A.
WBGene00010059,,,,WBGene00010059,WBGene00010059,History: Renamed on 2017-04-28
WBGene00010083,,,,WBGene00010083,WBGene00010083,History: N.A.
WBGene00010098,,,,WBGene00010098,WBGene00010098,History: N.A.
WBGene00010100,,,,WBGene00010100,WBGene00010100,History: N.A.
WBGene00010104,,,,WBGene00010104,WBGene00010104,"History: Split into F55C9.14(WBGene00077663). History of WBGene00010104: Split into ""WBGene00077663"" on 2008-02-22"
WBGene00010105,,,,WBGene00010105,WBGene00010105,History: N.A.
WBGene00010144,,,,WBGene00010144,WBGene00010144,History: N.A.
WBGene00010163,,,,WBGene00010163,WBGene00010163,History: N.A.
WBGene00010219,,,,WBGene00010219,WBGene00010219,History: N.A.
WBGene00010296,,,,WBGene00010296,WBGene00010296,History: N.A.
WBGene00010336,,,,WBGene00010336,WBGene00010336,History: Renamed on 2017-01-05
WBGene00010341,,,,WBGene00010341,WBGene00010341,History: N.A.
WBGene00010361,,,,WBGene00010361,WBGene00010361,"History: Split into H03G16.7(WBGene00304793). History of WBGene00010361: Split into ""WBGene00304793"" on 2019-05-20"
