# Table S2.  Heritable Dysregulated Genes upon Hypoxia Treatment
# Heritable Downregulated Genes Only in WT but Not in hrde-1 Mutant
Regulation Direction,Gene name,Input,Suggested Match,History
Transgenerational downregulated,WBGene00021439,WBGene00021439,WBGene00021439,History: N.A.
Transgenerational downregulated,WBGene00019426,WBGene00019426,WBGene00019426,History: N.A.
Transgenerational downregulated,WBGene00004773,WBGene00004773,WBGene00004773,History: N.A.
Transgenerational downregulated,WBGene00014213,WBGene00014213,WBGene00014213,History: N.A.
Transgenerational downregulated,WBGene00012443,WBGene00012443,WBGene00012443,History: N.A.
Transgenerational downregulated,WBGene00021525,WBGene00021525,WBGene00021525,History: N.A.
Transgenerational downregulated,WBGene00020801,WBGene00020801,WBGene00020801,History: N.A.
Transgenerational downregulated,WBGene00044772,WBGene00044772,WBGene00044772,History: N.A.
Transgenerational downregulated,WBGene00011321,WBGene00011321,WBGene00011321,History: N.A.
Transgenerational downregulated,WBGene00012794,WBGene00012794,WBGene00012794,History: N.A.
Transgenerational downregulated,WBGene00008666,WBGene00008666,WBGene00008666,History: N.A.
Transgenerational downregulated,WBGene00002827,WBGene00002827,WBGene00002827,History: N.A.
Transgenerational downregulated,WBGene00013934,WBGene00013934,WBGene00013934,History: N.A.
Transgenerational downregulated,WBGene00001824,WBGene00001824,WBGene00001824,History: N.A.
Transgenerational downregulated,WBGene00006412,WBGene00006412,WBGene00006412,History: Renamed on 2019-05-20
Transgenerational downregulated,WBGene00009973,WBGene00009973,WBGene00009973,History: N.A.
Transgenerational downregulated,WBGene00006811,WBGene00006811,WBGene00006811,History: N.A.
Transgenerational downregulated,WBGene00020137,WBGene00020137,WBGene00020137,History: N.A.
Transgenerational downregulated,WBGene00008779,WBGene00008779,WBGene00008779,History: N.A.
Intergenerational downregulated,WBGene00012421,WBGene00012421,WBGene00012421,History: N.A.
Intergenerational downregulated,WBGene00009698,WBGene00009698,WBGene00009698,History: N.A.
Intergenerational downregulated,WBGene00008963,WBGene00008963,WBGene00008963,History: N.A.
Intergenerational downregulated,WBGene00000958,WBGene00000958,WBGene00000958,"History: Split into C09E10.3(WBGene00303038). History of WBGene00000958: Split into ""WBGene00303038"" on 2018-03-02"
Intergenerational downregulated,WBGene00016734,WBGene00016734,WBGene00016734,History: N.A.
Intergenerational downregulated,WBGene00010290,WBGene00010290,WBGene00010290,History: Renamed on 2021-01-02
Intergenerational downregulated,WBGene00002015,WBGene00002015,WBGene00002015,History: N.A.
Intergenerational downregulated,WBGene00004212,WBGene00004212,WBGene00004212,History: N.A.
Intergenerational downregulated,WBGene00007984,WBGene00007984,WBGene00007984,History: N.A.
Intergenerational downregulated,WBGene00008971,WBGene00008971,WBGene00008971,History: N.A.
Intergenerational downregulated,WBGene00022146,WBGene00022146,WBGene00022146,History: N.A.
Intergenerational downregulated,WBGene00019490,WBGene00019490,WBGene00019490,History: N.A.
Intergenerational downregulated,WBGene00011794,WBGene00011794,WBGene00011794,History: N.A.
Intergenerational downregulated,WBGene00010175,WBGene00010175,WBGene00010175,History: N.A.
Intergenerational downregulated,WBGene00044536,WBGene00044536,WBGene00044536,History: N.A.
Intergenerational downregulated,WBGene00020156,WBGene00020156,WBGene00020156,History: N.A.
Intergenerational downregulated,WBGene00022418,WBGene00022418,WBGene00022418,History: N.A.
Intergenerational downregulated,WBGene00006652,WBGene00006652,WBGene00006652,History: N.A.
Intergenerational downregulated,WBGene00014125,WBGene00014125,WBGene00014125,History: N.A.
Intergenerational downregulated,WBGene00001958,WBGene00001958,WBGene00001958,History: N.A.
