# Note: In the following rows commas have been replaced with semicolons to work better with r
# In order to determine H3K9me2 marked genes; we employed published H3K9me2 ChIP-seq dataset SRX495107 (Gerstein et al.; 2010)
# and performed peak calling analysis using MACS (Lupien et al.; 2008). We then defined H3K9me2 marked genes as genes for which
# a significant H3K9me2 peak (FDR Qvalue < 0.1) overlaps the 1;000 bp centered around their TSS.
WBGene Name,Input,Suggested Match,History
WBGene00001016,WBGene00001016,WBGene00001016,History: N.A.
WBGene00001037,WBGene00001037,WBGene00001037,History: Renamed on 2005-12-16
WBGene00001038,WBGene00001038,WBGene00001038,History: N.A.
WBGene00001045,WBGene00001045,WBGene00001045,History: N.A.
WBGene00001053,WBGene00001053,WBGene00001053,History: N.A.
WBGene00001054,WBGene00001054,WBGene00001054,History: N.A.
WBGene00001057,WBGene00001057,WBGene00001057,History: N.A.
WBGene00001063,WBGene00001063,WBGene00001063,History: N.A.
WBGene00001064,WBGene00001064,WBGene00001064,History: N.A.
WBGene00001065,WBGene00001065,WBGene00001065,History: N.A.
WBGene00001066,WBGene00001066,WBGene00001066,History: N.A.
WBGene00001067,WBGene00001067,WBGene00001067,History: N.A.
WBGene00001068,WBGene00001068,WBGene00001068,History: N.A.
WBGene00001069,WBGene00001069,WBGene00001069,History: N.A.
WBGene00001070,WBGene00001070,WBGene00001070,History: N.A.
WBGene00001071,WBGene00001071,WBGene00001071,History: N.A.
WBGene00001073,WBGene00001073,WBGene00001073,History: N.A.
WBGene00001074,WBGene00001074,WBGene00001074,History: N.A.
WBGene00001075,WBGene00001075,WBGene00001075,History: N.A.
WBGene00001076,WBGene00001076,WBGene00001076,History: N.A.
WBGene00001092,WBGene00001092,WBGene00001092,History: N.A.
WBGene00001101,WBGene00001101,WBGene00001101,History: Renamed on 2016-08-02
WBGene00001103,WBGene00001103,WBGene00001103,History: N.A.
WBGene00001104,WBGene00001104,WBGene00001104,History: N.A.
WBGene00001105,WBGene00001105,WBGene00001105,History: N.A.
WBGene00001112,WBGene00001112,WBGene00001112,History: N.A.
WBGene00001113,WBGene00001113,WBGene00001113,History: N.A.
WBGene00001115,WBGene00001115,WBGene00001115,History: N.A.
WBGene00001118,WBGene00001118,WBGene00001118,History: N.A.
WBGene00001119,WBGene00001119,WBGene00001119,History: N.A.
WBGene00001122,WBGene00001122,WBGene00001122,History: N.A.
WBGene00001123,WBGene00001123,WBGene00001123,History: Renamed on 2016-08-08
WBGene00001130,WBGene00001130,WBGene00001130,History: N.A.
WBGene00001131,WBGene00001131,WBGene00001131,History: N.A.
WBGene00001133,WBGene00001133,WBGene00001133,History: N.A.
WBGene00001136,WBGene00001136,WBGene00001136,History: N.A.
WBGene00001137,WBGene00001137,WBGene00001137,History: N.A.
WBGene00001145,WBGene00001145,WBGene00001145,History: N.A.
WBGene00001147,WBGene00001147,WBGene00001147,History: N.A.
WBGene00001148,WBGene00001148,WBGene00001148,History: N.A.
WBGene00001149,WBGene00001149,WBGene00001149,History: N.A.
WBGene00001153,WBGene00001153,WBGene00001153,History: Renamed on 2005-04-01
WBGene00001154,WBGene00001154,WBGene00001154,History: N.A.
WBGene00001155,WBGene00001155,WBGene00001155,History: N.A.
WBGene00001156,WBGene00001156,WBGene00001156,History: N.A.
WBGene00001159,WBGene00001159,WBGene00001159,History: N.A.
WBGene00001163,WBGene00001163,WBGene00001163,History: N.A.
WBGene00001168,WBGene00001168,WBGene00001168,History: Renamed on 2005-09-08; Renamed on 2010-08-03
WBGene00001169,WBGene00001169,WBGene00001169,History: Renamed on 2010-08-03
WBGene00001171,WBGene00001171,WBGene00001171,History: N.A.
WBGene00001173,WBGene00001173,WBGene00001173,History: Renamed on 2005-11-22; Renamed on 2010-12-07; Renamed on 2011-07-12; Renamed on 2012-06-20
WBGene00001175,WBGene00001175,WBGene00001175,History: N.A.
WBGene00001177,WBGene00001177,WBGene00001177,History: N.A.
WBGene00001179,WBGene00001179,WBGene00001179,History: N.A.
WBGene00001182,WBGene00001182,WBGene00001182,History: N.A.
WBGene00001186,WBGene00001186,WBGene00001186,History: N.A.
WBGene00001189,WBGene00001189,WBGene00001189,History: N.A.
WBGene00001194,WBGene00001194,WBGene00001194,History: N.A.
WBGene00001196,WBGene00001196,WBGene00001196,"History: Split into C53H9.4(WBGene00303070). History of WBGene00001196: Split into ""WBGene00303070"" on 2018-03-02"
WBGene00001204,WBGene00001204,WBGene00001204,History: N.A.
WBGene00001207,WBGene00001207,WBGene00001207,History: N.A.
