# CSR-1 22G-RNA targets,,,
# CSR-1 targets > 1 RPM,> 1 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 50 RPM,> 50 RPM in IP and log2FC (IP/Input) > 1,,
# CSR-1 targets > 150 RPM,> 150 RPM in IP and log2FC (IP/Input) > 1,,
# Sorted embryos,1 cell,early vs 1-cell,late vs 1-cell
# Stable,> 1TPM,has to be -0.5< log2FC <0.5,has to be -0.5< log2FC <0.5
# Late degraded,> 1TPM,has to be -0.5< log2FC <0.5,has to be log2FC < -1
# Early degraded,> 1TPM,has to be log2FC < -1,has to be log2FC < -1
# Maternal cleared ,> 1TPM,has to be log2FC < -0.5,has to be log2FC < -1
# Newly zygotic,< 1TPM,> 1TPM and log2FC > 1,> 1TPM and log2FC > 1
# Maternal and zygotic,> 1TPM,log2FC > 0.5,
# Maternal and zygotic,> 1TPM,,log2FC > 0.5
# all in 1-Cell,> 1TPM,,
Stable (1020),Unnamed: 1,Unnamed: 2,Unnamed: 3,Input,Suggested Match,History
WBGene00003827,,,,WBGene00003827,WBGene00003827,History: N.A.
WBGene00003834,,,,WBGene00003834,WBGene00003834,History: N.A.
WBGene00003858,,,,WBGene00003858,WBGene00003858,History: N.A.
WBGene00003904,,,,WBGene00003904,WBGene00003904,History: Renamed on 2007-02-23
WBGene00003916,,,,WBGene00003916,WBGene00003916,History: N.A.
WBGene00003921,,,,WBGene00003921,WBGene00003921,History: N.A.
WBGene00003930,,,,WBGene00003930,WBGene00003930,History: N.A.
WBGene00003954,,,,WBGene00003954,WBGene00003954,History: N.A.
WBGene00003964,,,,WBGene00003964,WBGene00003964,History: N.A.
WBGene00003970,,,,WBGene00003970,WBGene00003970,History: N.A.
WBGene00003990,,,,WBGene00003990,WBGene00003990,History: N.A.
WBGene00004029,,,,WBGene00004029,WBGene00004029,History: N.A.
WBGene00004038,,,,WBGene00004038,WBGene00004038,History: N.A.
WBGene00004040,,,,WBGene00004040,WBGene00004040,History: N.A.
WBGene00004047,,,,WBGene00004047,WBGene00004047,History: N.A.
WBGene00004060,,,,WBGene00004060,WBGene00004060,History: N.A.
WBGene00004090,,,,WBGene00004090,WBGene00004090,History: Renamed on 2018-07-02
WBGene00004105,,,,WBGene00004105,WBGene00004105,History: Renamed on 2008-10-08
WBGene00004111,,,,WBGene00004111,WBGene00004111,History: N.A.
WBGene00004167,,,,WBGene00004167,WBGene00004167,History: N.A.
WBGene00004169,,,,WBGene00004169,WBGene00004169,History: N.A.
WBGene00004180,,,,WBGene00004180,WBGene00004180,History: N.A.
WBGene00004187,,,,WBGene00004187,WBGene00004187,History: N.A.
WBGene00004188,,,,WBGene00004188,WBGene00004188,History: N.A.
WBGene00004190,,,,WBGene00004190,WBGene00004190,History: Renamed on 2010-01-29
WBGene00004270,,,,WBGene00004270,WBGene00004270,History: N.A.
WBGene00004274,,,,WBGene00004274,WBGene00004274,History: N.A.
WBGene00004276,,,,WBGene00004276,WBGene00004276,History: N.A.
WBGene00004296,,,,WBGene00004296,WBGene00004296,History: N.A.
WBGene00004303,,,,WBGene00004303,WBGene00004303,History: Renamed on 2015-07-06
WBGene00004313,,,,WBGene00004313,WBGene00004313,History: N.A.
WBGene00004315,,,,WBGene00004315,WBGene00004315,History: N.A.
WBGene00004317,,,,WBGene00004317,WBGene00004317,History: N.A.
WBGene00004318,,,,WBGene00004318,WBGene00004318,History: N.A.
WBGene00004319,,,,WBGene00004319,WBGene00004319,History: N.A.
WBGene00004343,,,,WBGene00004343,WBGene00004343,History: N.A.
WBGene00004356,,,,WBGene00004356,WBGene00004356,History: N.A.
WBGene00004364,,,,WBGene00004364,WBGene00004364,History: Renamed on 2004-09-23
WBGene00004367,,,,WBGene00004367,WBGene00004367,History: N.A.
WBGene00004371,,,,WBGene00004371,WBGene00004371,History: N.A.
WBGene00004377,,,,WBGene00004377,WBGene00004377,History: N.A.
WBGene00004378,,,,WBGene00004378,WBGene00004378,History: N.A.
WBGene00004385,,,,WBGene00004385,WBGene00004385,History: N.A.
WBGene00004386,,,,WBGene00004386,WBGene00004386,History: N.A.
WBGene00004400,,,,WBGene00004400,WBGene00004400,History: N.A.
WBGene00004404,,,,WBGene00004404,WBGene00004404,History: N.A.
WBGene00004409,,,,WBGene00004409,WBGene00004409,History: N.A.
WBGene00004410,,,,WBGene00004410,WBGene00004410,History: N.A.
WBGene00004421,,,,WBGene00004421,WBGene00004421,History: N.A.
WBGene00004424,,,,WBGene00004424,WBGene00004424,History: N.A.
WBGene00004437,,,,WBGene00004437,WBGene00004437,History: N.A.
WBGene00004439,,,,WBGene00004439,WBGene00004439,History: N.A.
WBGene00004443,,,,WBGene00004443,WBGene00004443,History: N.A.
WBGene00004471,,,,WBGene00004471,WBGene00004471,History: N.A.
WBGene00004472,,,,WBGene00004472,WBGene00004472,History: N.A.
WBGene00004479,,,,WBGene00004479,WBGene00004479,History: N.A.
WBGene00004481,,,,WBGene00004481,WBGene00004481,History: N.A.
WBGene00004498,,,,WBGene00004498,WBGene00004498,History: N.A.
WBGene00004510,,,,WBGene00004510,WBGene00004510,History: Renamed on 2016-06-06
WBGene00004682,,,,WBGene00004682,WBGene00004682,History: N.A.
WBGene00004736,,,,WBGene00004736,WBGene00004736,History: N.A.
WBGene00004737,,,,WBGene00004737,WBGene00004737,History: N.A.
WBGene00004753,,,,WBGene00004753,WBGene00004753,History: N.A.
WBGene00004756,,,,WBGene00004756,WBGene00004756,History: N.A.
WBGene00004760,,,,WBGene00004760,WBGene00004760,History: N.A.
