gene,Input,Suggested Match,History
WBGene00005794,WBGene00005794,WBGene00005794,History: N.A.
WBGene00015606,WBGene00015606,WBGene00015606,History: N.A.
WBGene00018103,WBGene00018103,WBGene00018103,History: N.A.
WBGene00019588,WBGene00019588,WBGene00019588,History: N.A.
WBGene00013069,WBGene00013069,WBGene00013069,History: N.A.
WBGene00005830,WBGene00005830,WBGene00005830,History: N.A.
WBGene00022385,WBGene00022385,WBGene00022385,History: N.A.
WBGene00010850,WBGene00010850,WBGene00010850,History: N.A.
WBGene00012824,WBGene00012824,WBGene00012824,History: N.A.
WBGene00009912,WBGene00009912,WBGene00009912,History: N.A.
WBGene00022341,WBGene00022341,WBGene00022341,History: N.A.
WBGene00005388,WBGene00005388,WBGene00005388,History: N.A.
WBGene00005542,WBGene00005542,WBGene00005542,History: N.A.
WBGene00022432,WBGene00022432,WBGene00022432,History: N.A.
WBGene00009838,WBGene00009838,WBGene00009838,History: N.A.
WBGene00020327,WBGene00020327,WBGene00020327,History: N.A.
WBGene00044212,WBGene00044212,WBGene00044212,History: N.A.
WBGene00010005,WBGene00010005,WBGene00010005,History: N.A.
WBGene00009016,WBGene00009016,WBGene00009016,History: N.A.
WBGene00001569,WBGene00001569,WBGene00001569,History: Renamed on 2014-08-15
WBGene00045382,WBGene00045382,WBGene00045382,History: N.A.
WBGene00005770,WBGene00005770,WBGene00005770,History: N.A.
WBGene00007675,WBGene00007675,WBGene00007675,History: N.A.
WBGene00009299,WBGene00009299,WBGene00009299,History: N.A.
WBGene00016523,WBGene00016523,WBGene00016523,"History: Split into C39B5.14(WBGene00189950). History of WBGene00016523: Split into ""WBGene00189950"" on 2009-04-15"
WBGene00022291,WBGene00022291,WBGene00022291,History: N.A.
WBGene00017226,WBGene00017226,WBGene00017226,History: N.A.
WBGene00015771,WBGene00015771,WBGene00015771,History: N.A.
WBGene00044435,WBGene00044435,WBGene00044435,History: N.A.
WBGene00005491,WBGene00005491,WBGene00005491,History: N.A.
WBGene00012493,WBGene00012493,WBGene00012493,History: N.A.
WBGene00009858,WBGene00009858,WBGene00009858,History: N.A.
WBGene00012249,WBGene00012249,WBGene00012249,History: N.A.
WBGene00010931,WBGene00010931,WBGene00010931,History: N.A.
WBGene00010852,WBGene00010852,WBGene00010850,"History: Merged into ""WBGene00010850"" on 2011-03-16"
WBGene00045295,WBGene00045295,WBGene00045295,History: N.A.
WBGene00009017,WBGene00009017,WBGene00009017,History: N.A.
WBGene00045416,WBGene00045416,WBGene00045416,History: N.A.
WBGene00021520,WBGene00021520,WBGene00021520,History: N.A.
WBGene00007852,WBGene00007852,WBGene00007852,History: N.A.
WBGene00018102,WBGene00018102,WBGene00018102,History: N.A.
WBGene00013070,WBGene00013070,WBGene00013070,"History: Split into Y51A2B.9(WBGene00050907). History of WBGene00013070: Split into ""WBGene00050907"" on 2007-09-27"
WBGene00022210,WBGene00022210,WBGene00022210,History: N.A.
